AS ID,Country,Description
169,US,"HANSCOM-NET-AS - 754th Electronic Systems Group,US"
170,US,"DNIC-AS-00170 - DoD Network Information Center,US"
171,US,"SOX-RES - Southern Light Rail, Inc.,US"
172,US,"DNIC-AS-00172 - Headquarters, USAISC,US"
173,JP,"ERX-ECLNET Electrical Communications Laboratories,JP"
174,US,"COGENT-174 - Cogent Communications,US"
175,US,"PL-AS - 754th Electronic Systems Group,US"
176,US,"BCN-AS - Information Systems and Networks Corporation,US"
177,US,"UMICH-AS-1 - University of Michigan,US"
178,US,"UMICH-AS-2 - University of Michigan,US"
179,US,"UMICH-AS-3 - University of Michigan,US"
180,US,"UMICH-AS-4 - University of Michigan,US"
181,US,"MERIT-AS-1 - Merit Network Inc.,US"
182,US,"MERIT-AS-2 - Merit Network Inc.,US"
183,US,"MERIT-AS-3 - Merit Network Inc.,US"
184,US,"MERIT-AS-4 - Merit Network Inc.,US"
185,US,"MERIT-AS-5 - Merit Network Inc.,US"
186,US,"CUA-AS - The Catholic University of America,US"
187,US,"DNSCAST-AS - DNScast,US"
188,US,"SAIC-AS - SAIC,US"
189,US,"LVLT-189 - Level 3 Communications, Inc.,US"
190,US,"DNIC-AS-00190 - Navy Network Information Center (NNIC),US"
191,US,"DNIC-AS-00191 - Navy Network Information Center (NNIC),US"
192,US,"ROCHINSTTECH - Rochester Institute of Technology,US"
193,US,"FORD-ASN - Lockheed Martin Western Development Labs,US"
194,US,"NCAR-AS - University Corporation for Atmospheric Research,US"
195,US,"SDSC-AS - San Diego Supercomputer Center,US"
196,US,"RISC-SYSTEM - The Boeing Company,US"
197,US,"RAYTHEON-AS-2 - Raytheon Company,US"
198,US,"DNIC-AS-00198 - DoD Network Information Center,US"
199,US,"LVLT-199-203 - Level 3 Communications, Inc.,US"
200,US,"LVLT-199-203 - Level 3 Communications, Inc.,US"
201,US,"LVLT-199-203 - Level 3 Communications, Inc.,US"
202,US,"LVLT-199-203 - Level 3 Communications, Inc.,US"
203,US,"LVLT-199-203 - Level 3 Communications, Inc.,US"
204,US,"PSCNET-AS - Pittsburgh Supercomputing Center,US"
205,US,"MONTCLAIR-AS - Montclair State University,US"
206,US,"CSC-IGN-AMER - Computer Sciences Corporation,US"
207,US,"CLI-GW-AS - Computational Logic, Inc.,US"
208,US,"DNIC-AS-00208 - Navy Network Information Center (NNIC),US"
209,US,"CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US"
210,US,"WEST-NET-WEST - Utah Education Network,US"
211,US,"RADC-LONS-GW-AS - Rome Air Development Center,US"
212,US,"HQAFSC-LONS-GW-AS - Headquarters, Air Force Systems Command,US"
213,US,"DNIC-AS-00213 - Headquarters, USAISC,US"
214,US,"DNIC-AS-00214 - Navy Network Information Center (NNIC),US"
215,US,"DNIC-AS-00215 - Headquarters, USAISC,US"
216,US,"LMSC-HOSTNET-AS - 754th Electronic Systems Group,US"
217,US,"UMN-SYSTEM - University of Minnesota,US"
218,US,"AFOTECPCNET-AS - 754th Electronic Systems Group,US"
219,US,"DNIC-AS-00219 - Navy Network Information Center (NNIC),US"
220,US,"OOALC-HOSTNET-AS - 754th Electronic Systems Group,US"
221,US,"WRALC-HOSTNET-AS - 754th Electronic Systems Group,US"
222,US,"SMALC-HOSTNET-AS - 754th Electronic Systems Group,US"
